epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.825,0.86215,3.66228,1.1815,0.36671,0.51207,0.38443,0.31543,0.73886,1.68163,1.07232,0.00017454,0.00017454,0.00017454
2,206.794,0.72556,1.65754,1.07072,0.61203,0.63502,0.64773,0.52979,0.75898,1.25464,1.10659,0.000336018,0.000336018,0.000336018
3,302.544,0.7429,1.38845,1.07848,0.75353,0.66063,0.72461,0.59587,0.7386,1.05299,1.07237,0.00048361,0.00048361,0.00048361
4,397.886,0.71313,1.19011,1.0586,0.7424,0.67787,0.76828,0.62121,0.75684,1.05385,1.08338,0.000463511,0.000463511,0.000463511
5,493.319,0.69187,1.10066,1.03938,0.82683,0.76561,0.85182,0.69811,0.74159,0.7683,1.08236,0.000442682,0.000442682,0.000442682
6,589.003,0.67745,0.99561,1.04271,0.90277,0.79255,0.87125,0.72909,0.67199,0.66705,1.02963,0.000421852,0.000421852,0.000421852
7,684.927,0.66045,0.93672,1.03121,0.929,0.81788,0.90714,0.75271,0.68664,0.57075,1.0361,0.000401022,0.000401022,0.000401022
8,779.463,0.66094,0.89489,1.03634,0.89422,0.83598,0.91029,0.76811,0.64393,0.55525,1.00414,0.000380193,0.000380193,0.000380193
9,875.271,0.63707,0.86292,1.01159,0.92674,0.82004,0.91632,0.76714,0.64265,0.54259,0.99372,0.000359363,0.000359363,0.000359363
10,969.968,0.61744,0.80942,1.00357,0.93348,0.83607,0.9285,0.77734,0.64385,0.5089,1.00332,0.000338534,0.000338534,0.000338534
11,1065.46,0.61235,0.78033,0.99711,0.93608,0.84189,0.92053,0.77654,0.63686,0.49347,0.99348,0.000317704,0.000317704,0.000317704
12,1160.82,0.60215,0.74795,0.99531,0.93276,0.86066,0.92984,0.79362,0.61863,0.47303,0.97897,0.000296874,0.000296874,0.000296874
13,1256.39,0.59801,0.72529,0.9963,0.95033,0.85651,0.94106,0.79157,0.62081,0.45303,0.99244,0.000276045,0.000276045,0.000276045
14,1352.22,0.5801,0.68478,0.98419,0.9418,0.87016,0.94884,0.81063,0.61063,0.41982,0.97381,0.000255215,0.000255215,0.000255215
15,1447.19,0.57832,0.67775,0.98119,0.95468,0.8801,0.95658,0.81466,0.59814,0.40727,0.9691,0.000234386,0.000234386,0.000234386
16,1574.51,0.57509,0.45804,0.95234,0.96081,0.86268,0.94574,0.80596,0.6087,0.42594,0.96644,0.000213556,0.000213556,0.000213556
17,1668.02,0.56867,0.43303,0.94489,0.92887,0.8849,0.94405,0.80486,0.60153,0.42316,0.97069,0.000192726,0.000192726,0.000192726
18,1761.27,0.55438,0.41539,0.94349,0.95522,0.88787,0.95248,0.81315,0.59624,0.38818,0.96659,0.000171897,0.000171897,0.000171897
19,1855.01,0.54173,0.39228,0.93381,0.96574,0.89509,0.96187,0.81968,0.57647,0.37516,0.95843,0.000151067,0.000151067,0.000151067
20,1948.57,0.536,0.37093,0.92852,0.95746,0.88106,0.95699,0.8191,0.57969,0.38125,0.95604,0.000130238,0.000130238,0.000130238
21,2041.86,0.52673,0.35051,0.92076,0.93262,0.90864,0.95904,0.82395,0.57173,0.35659,0.94551,0.000109408,0.000109408,0.000109408
22,2135.17,0.51172,0.33747,0.91846,0.95293,0.92064,0.96774,0.83829,0.5707,0.33734,0.95039,8.85784e-05,8.85784e-05,8.85784e-05
23,2228.03,0.50717,0.32617,0.91567,0.94536,0.92071,0.96544,0.83891,0.56988,0.33097,0.94594,6.77488e-05,6.77488e-05,6.77488e-05
24,2322.24,0.49365,0.3125,0.90655,0.95464,0.90917,0.96758,0.83528,0.56981,0.3301,0.94659,4.69192e-05,4.69192e-05,4.69192e-05
25,2415.87,0.48745,0.3029,0.90753,0.9555,0.92819,0.97104,0.84201,0.56129,0.31579,0.9411,2.60896e-05,2.60896e-05,2.60896e-05
